file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,buscarPorId/1[java.lang.Long],false,32,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,salvar/1[tcc.legado.model.LivroDestaque],false,38,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,excluir/1[java.lang.Long],false,50,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,listarAtivos/0,false,26,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,visualizar/1[java.lang.Long],false,56,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,atualizar/1[tcc.legado.model.LivroDestaque],false,44,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,salvar/1[tcc.legado.model.Livro],false,9,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,buscarPorId/1[java.lang.Long],false,8,1,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,atualizar/1[tcc.legado.model.Livro],false,10,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\ILivroEJB.java,tcc.legado.ejb.livro.ILivroEJB,excluir/1[java.lang.Long],false,11,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
